grid_id,crime_count,x,y,distance_to_center,avg_hour,night_ratio,weekend_ratio,neighbourhoods_Downtown,neighbourhoods_Dunbar-Southlands,neighbourhoods_Fairview,neighbourhoods_Grandview-Woodland,neighbourhoods_Hastings-Sunrise,neighbourhoods_Kensington-Cedar Cottage,neighbourhoods_Kerrisdale,neighbourhoods_Killarney,neighbourhoods_Kitsilano,neighbourhoods_Marpole,neighbourhoods_Mount Pleasant,neighbourhoods_Oakridge,neighbourhoods_Renfrew-Collingwood,neighbourhoods_Riley Park,neighbourhoods_Shaughnessy,neighbourhoods_South Cambie,neighbourhoods_Strathcona,neighbourhoods_Sunset,neighbourhoods_Victoria-Fraserview,neighbourhoods_West End,neighbourhoods_West Point Grey,risk
139,0.0,485948.5581,5455390.0603,6208.762349028297,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
140,0.0,485948.5581,5455640.0603,6066.816303194895,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
141,1.0,485948.5581,5455890.0603,5932.014009315165,3.0,1.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
142,6.0,485948.5581,5456140.0603,5804.853172709141,13.833333333333334,0.0,0.16666666666666666,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
143,0.0,485948.5581,5456390.0603,5685.846507487816,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
144,0.0,485948.5581,5456640.0603,5575.516178499655,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
145,1.0,485948.5581,5456890.0603,5474.386797323642,13.0,0.0,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
146,0.0,485948.5581,5457140.0603,5382.976960447761,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
147,1.0,485948.5581,5457390.0603,5301.78942496884,10.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
148,0.0,485948.5581,5457640.0603,5231.300149743984,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
149,0.0,485948.5581,5457890.0603,5171.946578099142,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
150,0.0,485937.33403218177,5458081.306736739,5145.345859479751,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
151,0.0,486318.08503907744,5451759.08170902,8622.715662595023,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
152,0.0,486214.54812375,5451921.90632682,8544.001387301689,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
153,0.0,486198.5581,5452140.0603,8373.327714040059,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
154,0.0,486198.5581,5452390.0603,8169.770324599787,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
155,0.0,486198.5581,5452640.0603,7968.856712647763,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
156,0.0,486198.5581,5452890.0603,7770.791945272459,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
157,0.0,486198.5581,5453140.0603,7575.799469805898,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
158,0.0,486198.5581,5453390.0603,7384.122680231642,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
159,2.0,486198.5581,5453640.0603,7196.026535992717,17.0,0.5,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
160,0.0,486198.5581,5453890.0603,7011.799202537915,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
161,1.0,486198.5581,5454140.0603,6831.753669938002,12.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
162,0.0,486198.5581,5454390.0603,6656.229289673798,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
163,0.0,486198.5581,5454640.0603,6485.593149952544,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
164,1.0,486198.5581,5454890.0603,6320.2411865933855,16.0,0.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
165,2.0,486198.5581,5455140.0603,6160.598900002448,9.0,0.0,0.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
166,0.0,486198.5581,5455390.0603,6007.121520055291,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
167,1.0,486198.5581,5455640.0603,5860.293431792591,6.0,0.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
168,3.0,486198.5581,5455890.0603,5720.626648953014,14.666666666666666,0.3333333333333333,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
169,5.0,486198.5581,5456140.0603,5588.658104295824,16.2,0.6,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
170,0.0,486198.5581,5456390.0603,5464.945521842958,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
171,1.0,486198.5581,5456640.0603,5350.061654477583,2.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
172,3.0,486198.5581,5456890.0603,5244.586719343233,15.666666666666666,1.0,0.3333333333333333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1
173,0.0,486198.5581,5457140.0603,5149.098950953596,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
174,1.0,486198.5581,5457390.0603,5064.163322476026,0.0,1.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
175,2.0,486198.5581,5457640.0603,4990.318657832528,13.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
176,0.0,486198.5581,5457890.0603,4928.063560538911,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
177,0.0,486181.0133298199,5458048.705885183,4911.984631516969,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
178,0.0,486480.3040493475,5451685.109938356,8598.561978626492,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
179,0.0,486448.5581,5451890.0603,8441.97049904294,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
180,0.0,486448.5581,5452140.0603,8232.52063809811,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
181,0.0,486448.5581,5452390.0603,8025.392588946121,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
182,0.0,486448.5581,5452640.0603,7820.77082880654,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
183,0.0,486448.5581,5452890.0603,7618.857296649631,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
184,0.0,486448.5581,5453140.0603,7419.8730889895505,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
185,1.0,486448.5581,5453390.0603,7224.060271530917,3.0,1.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
186,6.0,486448.5581,5453640.0603,7031.683792429189,12.5,0.16666666666666666,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
187,1.0,486448.5581,5453890.0603,6843.0334725698485,21.0,1.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
188,4.0,486448.5581,5454140.0603,6658.426034485279,15.25,0.5,0.25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
189,0.0,486448.5581,5454390.0603,6478.207113601059,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
190,8.0,486448.5581,5454640.0603,6302.753172758027,13.375,0.0,0.25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
191,4.0,486448.5581,5454890.0603,6132.473212881682,13.5,0.0,0.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
192,9.0,486448.5581,5455140.0603,5967.810139130717,15.333333333333334,0.0,0.4444444444444444,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
193,1.0,486448.5581,5455390.0603,5809.241603403269,22.0,1.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
194,0.0,486448.5581,5455640.0603,5657.280102373525,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
195,8.0,486448.5581,5455890.0603,5512.472068565192,9.75,0.375,0.125,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
196,4.0,486448.5581,5456140.0603,5375.3956558295695,13.75,0.5,0.25,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
197,0.0,486448.51575318305,5456390.005197882,5246.721044243472,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
198,2.0,486448.53746955935,5456640.109113703,5126.8797685566,2.0,1.0,0.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0
